conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
RELATIONSHIP_TYPE:1,General,,ARCHES RESOURCE CROSS-REFERENCE RELATIONSHIP TYPES.E32.csv,Collector,PRESERVE/scapes
RELATIONSHIP_TYPE:2,is related to (general),,RELATIONSHIP_TYPE:1,Index,GCI
RELATIONSHIP_TYPE:3,has interment / is interred in,,RELATIONSHIP_TYPE:1,Index,GCI
RELATIONSHIP_TYPE:4,is contained within / contains,,RELATIONSHIP_TYPE:1,Index,GCI
RELATIONSHIP_TYPE:5,was identified in / identified,,RELATIONSHIP_TYPE:1,Index,GCI
RELATIONSHIP_TYPE:6,was assessed in / assessed,,RELATIONSHIP_TYPE:1,Index,GCI
RELATIONSHIP_TYPE:7,is referred to in / refers to,,RELATIONSHIP_TYPE:1,Index,GCI
RELATIONSHIP_TYPE:8,is represented by / represents,,RELATIONSHIP_TYPE:1,Index,GCI
RELATIONSHIP_TYPE:9,affects / is affected by,,RELATIONSHIP_TYPE:1,Index,GCI
RELATIONSHIP_TYPE:10,adversely affects / is adversely affected by,,RELATIONSHIP_TYPE:1,Index,PRESERVE/scapes
RELATIONSHIP_TYPE:11,Inventory Resource <> Actor,,ARCHES RESOURCE CROSS-REFERENCE RELATIONSHIP TYPES.E32.csv,Collector,PRESERVE/scapes
RELATIONSHIP_TYPE:12,was created for / commissioned,,RELATIONSHIP_TYPE:11,Index,PRESERVE/scapes
RELATIONSHIP_TYPE:13,was built by / built,,RELATIONSHIP_TYPE:11,Index,GCI
RELATIONSHIP_TYPE:14,was created by / created,,RELATIONSHIP_TYPE:11,Index,GCI
RELATIONSHIP_TYPE:15,was designed by / designed,,RELATIONSHIP_TYPE:11,Index,GCI
RELATIONSHIP_TYPE:16,was made significant by / contributed to the significance of,,RELATIONSHIP_TYPE:11,Index,GCI
RELATIONSHIP_TYPE:17,was occupied by / occupied,,RELATIONSHIP_TYPE:11,Index,GCI
RELATIONSHIP_TYPE:18,was owned by / owned,,RELATIONSHIP_TYPE:11,Index,GCI
RELATIONSHIP_TYPE:19,was razed by / razed,,RELATIONSHIP_TYPE:11,Index,GCI
RELATIONSHIP_TYPE:20,was surveyed by / surveyed,,RELATIONSHIP_TYPE:11,Index,PRESERVE/scapes
RELATIONSHIP_TYPE:21,Actor <> Actor,,ARCHES RESOURCE CROSS-REFERENCE RELATIONSHIP TYPES.E32.csv,Collector,CRNHA
RELATIONSHIP_TYPE:22,is kin to (general),,RELATIONSHIP_TYPE:21,Index,CRNHA
RELATIONSHIP_TYPE:23,is sibling of,,RELATIONSHIP_TYPE:21,Index,CRNHA
RELATIONSHIP_TYPE:24,child of / has child,,RELATIONSHIP_TYPE:21,Index,CRNHA
RELATIONSHIP_TYPE:25,married to,,RELATIONSHIP_TYPE:21,Index,CRNHA
