conceptid,Value,ValueType,Provider
CHAR_AREA:1,1,sortorder,preserveSCAPES
CHAR_AREA:2,2,sortorder,preserveSCAPES
CHAR_AREA:3,3,sortorder,preserveSCAPES
CHAR_AREA:4,4,sortorder,preserveSCAPES
CHAR_AREA:5,5,sortorder,preserveSCAPES
CHAR_AREA:6,6,sortorder,preserveSCAPES
CHAR_AREA:7,7,sortorder,preserveSCAPES
CHAR_AREA:8,8,sortorder,preserveSCAPES
CHAR_AREA:9,9,sortorder,preserveSCAPES
CHAR_AREA:10,10,sortorder,preserveSCAPES
CHAR_AREA:11,11,sortorder,preserveSCAPES
CHAR_AREA:12,12,sortorder,preserveSCAPES
CHAR_AREA:13,13,sortorder,preserveSCAPES
CHAR_AREA:14,14,sortorder,preserveSCAPES
